composition,instruction_level,sensitive_attr,n_pairs,n_pairs_visible,n_pairs_ciego,n_pairs_semillas_incompletas,k_seeds_max,sd_visible,sd_ciego,sd_ciego_atributo,F,ci95_lo_F,ci95_hi_F,p_fisher,p_levene,F_homog_ciego,p_homog_ciego,ciego_identico_entre_atributos,q_global,q_por_composicion,sig_BH_global,sig_BH_composicion,familia
hetero_api_gpt,level_0_neutral,country,21,21,21,1,3,3743.0276242677865,5240.064538949354,4637.686847274861,0.5102379918550727,0.11764656143918704,2.101377248870727,0.14090674986800564,0.5150144827606211,1.5532916630122369,0.3327212939250881,False,0.2818134997360113,0.4227202496040169,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_api_gpt,level_0_neutral,gender,21,21,21,0,3,3143.238649115114,5240.064538949354,5780.001163609118,0.35981680245735753,0.12082369657225021,1.4622046863179825,0.027008806371190814,0.21551878849739686,1.5532916630122369,0.3327212939250881,False,0.06482113529085795,0.1620528382271449,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_api_gpt,level_1_professional,country,21,21,21,0,3,3143.290287477312,2598.8388267876576,2598.8388267876576,1.4628853414078415,0.7310805246062092,3.3575723403870206,0.4022655541908555,0.19418179808986766,1.0,0.9999999999999996,True,0.47220892944967724,0.4827186650290266,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_api_gpt,level_1_professional,gender,21,21,21,0,3,3149.261878393682,2598.8388267876576,2598.8388267876576,1.4684489706395736,0.5779048751317204,4.627730545885704,0.3976141122697694,0.3857509854491611,1.0,0.9999999999999996,True,0.47220892944967724,0.4827186650290266,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_api_gpt,level_2_identity,country,21,21,21,0,3,4584.397953165652,4845.40347351632,4845.40347351632,0.8951683677920453,0.2992283955744718,17.90331426989003,0.8068486975093643,0.18323278713858132,1.0,0.9999999999999996,True,0.8089595836762303,0.8068486975093642,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_api_gpt,level_2_identity,gender,21,21,21,0,3,3780.994126556256,4845.40347351632,4845.40347351632,0.6089086069088987,0.1691678312710293,11.76044360964476,0.2756951587105142,0.41837766344130256,1.0,0.9999999999999996,True,0.4135427380657713,0.4827186650290266,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_0_neutral,country,21,21,21,1,3,3787.766682388402,5240.064538949354,4637.686847274861,0.522508268387037,0.17393368750691526,2.102230671409962,0.15522812543206338,0.769049588578379,1.5532916630122369,0.3327212939250881,False,0.29411644818706745,0.36708450369050744,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_0_neutral,gender,21,21,21,0,3,4584.389159096011,5240.064538949354,5780.001163609118,0.7654021569684891,0.3452742508294022,2.5942258810035717,0.5555032323299697,0.992193346539864,1.5532916630122369,0.3327212939250881,False,0.6249411363712158,0.5555032323299697,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_1_professional,country,21,21,21,0,3,3212.318727906071,2598.8388267876576,2598.8388267876576,1.5278424284132432,0.4918560526926471,4.9381103309395815,0.3510370848085045,0.5074657688274934,1.0,0.9999999999999996,True,0.46804944641133933,0.4212445017702054,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_1_professional,gender,21,21,21,0,3,3531.4032024920953,2598.8388267876576,2598.8388267876576,1.8464430618522718,1.019599754888141,4.77873094579552,0.1789462364987624,0.11975963577685143,1.0,0.9999999999999996,True,0.3146438603061492,0.36708450369050744,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_2_identity,country,21,21,21,0,3,3860.440729698259,4845.40347351632,4845.40347351632,0.6347663344767027,0.1421965632173423,15.993894681135794,0.31757453567737287,0.4477489424570351,1.0,0.9999999999999996,True,0.44376749314269276,0.4212445017702054,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
hetero_local,level_2_identity,gender,21,21,21,0,3,3577.4853298165895,4845.40347351632,4845.40347351632,0.5451246620514459,0.10219912216059862,11.969122132916235,0.18354225184525372,0.5874006043369298,1.0,0.9999999999999996,True,0.3146438603061492,0.36708450369050744,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_gpt,level_0_neutral,country,21,21,21,0,3,3585.744664991252,2704.1030539146386,2201.0859444648304,1.758378012794154,0.8373182305192403,4.759846225095186,0.2155953416358467,0.036022242899318914,2.018578482402754,0.1245921804748582,False,0.3374535782126296,0.4311906832716934,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_gpt,level_0_neutral,gender,21,21,21,0,3,3389.352812475246,2704.1030539146386,3127.2299751473856,1.5710394126309333,0.28742206189632236,6.552372667366765,0.3204987450475003,0.7318705334550272,2.018578482402754,0.1245921804748582,False,0.44376749314269276,0.46132394815577593,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_gpt,level_1_professional,country,21,21,21,2,3,3323.290953727691,6580.857344115421,8145.926742224149,0.2550185532969688,0.09638508184339249,1.032441336667233,0.0035869593586245457,0.24063309673222172,0.3053108517705094,0.01078447811095318,False,0.012913053691048365,0.010760878075873637,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_gpt,level_1_professional,gender,21,21,21,1,3,2719.177346186384,6580.857344115421,4501.027024748155,0.17073010750821094,0.04937752226662809,0.23128937154333473,0.0002251205304199696,0.3423954819659165,0.3053108517705094,0.01078447811095318,False,0.0027014463650396354,0.0013507231825198177,True,True,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
homo_gpt,level_2_identity,country,21,21,21,0,3,4090.46768333234,4569.800335733018,4721.865700733895,0.8012194459619327,0.30134993751470507,2.7819958970547374,0.6249040724336785,0.37787918721318803,0.8732562259928949,0.7648102919835058,False,0.6817135335640129,0.6249040724336785,False,False,primaria=q_global (BH sobre los 36 tests) | secundaria=q_por_composicion (BH sobre los 6 tests de cada composicion)
