composition,instruction_level,sensitive_attr,n_pairs,n_pairs_descartadas,k_seeds,icc,F,p_value,q_value,sig_BH,sd_entre_parejas,sd_dentro_pareja
hetero_api_gpt,level_0_neutral,country,21,0,3,0.10468725273830606,1.3507844149158752,0.20207059206944158,0.5444627349943145,False,1907.4367973746434,5578.155786651958
hetero_api_gpt,level_0_neutral,gender,21,0,3,0.07920456309481769,1.2580526355376813,0.2592679690449117,0.5444627349943145,False,1423.5807260559145,4853.874881481738
hetero_api_gpt,level_1_professional,country,21,0,3,-0.15082807320194755,0.6068185768644865,0.8851988194002562,0.9505542759341982,False,0.0,6989.01035867388
hetero_api_gpt,level_1_professional,gender,21,0,3,-0.1603320891374073,0.5854667194718408,0.9010065419062154,0.9505542759341982,False,0.0,7128.830635814473
hetero_api_gpt,level_1_professional,placebo,21,0,3,-0.1624899610016823,0.5806674471536865,0.9043906116017009,0.9505542759341982,False,0.0,4183.4270834685785
hetero_api_gpt,level_2_identity,country,21,0,3,0.10322727640674713,1.3453292245323722,0.20511677583204257,0.5444627349943145,False,2322.654906897362,6845.87001989996
hetero_api_gpt,level_2_identity,gender,21,0,3,0.06905481402777193,1.2225312995919997,0.2843457066603226,0.5686914133206452,False,1613.1381470952065,5922.9305002099645
hetero_local,level_0_neutral,country,21,0,3,0.31848735412712126,2.4019726092648095,0.008348219915569747,0.15970911737082036,False,2893.8029743742673,4233.112608606444
hetero_local,level_0_neutral,gender,21,0,3,0.30258924230938494,2.3016256444539365,0.011407794097915739,0.15970911737082036,False,3447.5230711038976,5233.892042135581
hetero_local,level_1_professional,country,21,0,3,-0.16307156823797608,0.5793769548893056,0.9052897866039982,0.9505542759341982,False,0.0,7309.684772967897
hetero_local,level_1_professional,gender,21,0,3,3.7994126870188924e-05,1.0001139867114361,0.4816681879908795,0.7225022819863193,False,37.700722067903406,6116.221194690473
hetero_local,level_1_professional,placebo,21,0,3,-0.029583885309312073,0.9137985188052229,0.5736545586247401,0.7847815207451281,False,0.0,3887.3500195638644
hetero_local,level_2_identity,country,21,0,3,0.02025744190366258,1.0620288719815028,0.42014819441108264,0.7225022819863193,False,932.9656818404754,6488.276581039335
hetero_local,level_2_identity,gender,21,0,3,-0.10206455299780212,0.7221635899997801,0.781422164090034,0.9377065969080407,False,0.0,7291.564043903694
homo_gpt,level_0_neutral,country,21,0,3,0.07941329720622622,1.2587913673917668,0.25876550160958495,0.5444627349943145,False,1625.8383957273143,5535.579729393858
homo_gpt,level_0_neutral,gender,21,0,3,0.10928606771365847,1.3680847365881075,0.19266220566069875,0.5444627349943145,False,1758.0619900842055,5019.042894752452
homo_gpt,level_1_professional,country,19,2,3,-0.09214410206809986,0.7468902632163252,0.7430521552782161,0.9232577893389243,False,0.0,5528.157511259808
homo_gpt,level_1_professional,gender,20,1,3,-0.15059694595308282,0.6073422240096309,0.8782589755895199,0.9505542759341982,False,0.0,6159.35597012112
homo_gpt,level_1_professional,placebo,21,0,3,0.0811000052536957,1.2647731169356018,0.25472523954004445,0.5444627349943145,False,1385.5500558055842,4663.864276762724
homo_gpt,level_2_identity,country,21,0,3,0.1672596323952807,1.6025634359832353,0.09816552790102578,0.41444760696503424,False,2508.226421942437,5596.622039584971
homo_gpt,level_2_identity,gender,21,0,3,0.37479437253737424,2.7984213004853946,0.002462613429787932,0.10342976405109315,False,3006.6910731112675,3883.3248032810466
